,art_institution,art_movement,birthdate,birthplace,deathdate,deathplace,endyear,family_and_relatives,field,friends_and_co-workers,genre,image,influenced_by,influenced_on,link,name,nationality,official_site,painting_school,pupils,references,startyear,teachers,wikipedia
818,,[Impressionism],28 December 1860,"Birkenhead, United Kingdom",18 March 1942," London, United Kingdom",,,[painting],,,https://uploads8.wikiart.org/temp/cb0d3be9-f376-4152-acbf-b3a75407af36.jpg!Portrait.jpg,,,https://www.wikiart.org/en/philip-wilson-steer,Philip Wilson Steer,British,,,,,,,[ http://en.wikipedia.org/wiki/Philip_Wilson_Steer ]
819,,"[Impressionism, Post-Impressionism]",17 May 1861,"Nantes, France",23 May 1918,"Poncé-sur-le-Loire, France",,,[painting],,"[landscape, marina]",https://uploads8.wikiart.org/temp/ee439d0d-e4b5-4614-91ef-f29321d63960.jpg!Portrait.jpg,,,https://www.wikiart.org/en/maxime-maufra,Maxime Maufra,French,,[Pont-Aven School],,,,,[ http://en.wikipedia.org/wiki/Maxime_Maufra ]
820,"[Art Students League of New York, New York City, NY, US, Yale School of Art (Yale University), New Haven, CT, US]","[Tonalism, Impressionism]",04 October 1861,"Canton, New York, United States",26 December 1909,"Ridgefield, Connecticut, United States",,,"[painting, sculpture, illustration]",,,https://uploads4.wikiart.org/temp/b69507d5-ae65-4f5e-8846-3dedafb6bdc0.jpg,,,https://www.wikiart.org/en/frederic-remington,Frederic Remington,American,,,,,,,[ http://en.wikipedia.org/wiki/Frederic_Remington ]
821,,[Impressionism],07 November 1861,"Birnbaum, Grand Duchy of Posen, Germany",18 October 1931,"Berlin, Germany",,,"[painting, printmaking]",,"[cityscape, genre painting]",https://uploads8.wikiart.org/temp/3bc44125-599a-4310-ac97-144d5372b74f.jpg!Portrait.jpg,,,https://www.wikiart.org/en/lesser-ury,Lesser Ury,German,,"[Munich Secession, Düsseldorf School of Painting, Berlin Secession]",,,,,[ http://en.wikipedia.org/wiki/Lesser_Ury ]
822,,[Impressionism],23 November 1861,"Moscow, Russian Federation",11 September 1939,"Paris, France",,,[painting],,,https://uploads1.wikiart.org/images/konstantin-korovin.jpg!Portrait.jpg,,,https://www.wikiart.org/en/konstantin-korovin,Konstantin Korovin,Russian,,[Mir Iskusstva (World of Art)],,,,,[ http://en.wikipedia.org/wiki/Konstantin_Korovin ]
823,,[Impressionism],08 December 1861,"Banyuls-sur-Mer, Roussillon, France",27 September 1944,"Banyuls-sur-Mer, Roussillon, France",,,"[painting, printmaking, sculpture]",,[sculpture],https://uploads4.wikiart.org/temp/e9dcdaf3-87ab-4396-9696-fd14c10e7016.jpg,"[Paul Gauguin, Auguste Rodin]",,https://www.wikiart.org/en/aristide-maillol,Aristide Maillol,French,,[Les Nabis],,,,"[Alexandre Cabanel, Jean-Leon Gerome]",[ http://en.wikipedia.org/wiki/Aristide_Maillol ]
824,,[Impressionism],08 February 1862,"Vienna, Austria",18 March 1917,,,,[painting],,,https://uploads8.wikiart.org/temp/2fcc96f7-e843-4cfa-868e-80fd4aa80ad7.jpg!Portrait.jpg,,,https://www.wikiart.org/en/karoly-ferenczy,Karoly Ferenczy,Hungarian,,[Nagybánya Artists Colony (Baia Mare School)],,,,,[ http://en.wikipedia.org/wiki/Károly_Ferenczy ]
825,"[National Academy Museum and School (National Academy of Design), New York City, NY, US, Tufts School of the Museum of Fine Arts, Boston, MA, US]",[Impressionism],26 April 1862,"Groton, Massachusetts, United States",01 August 1938,"New Castle, New Hampshire, United States",,,"[painting, illustration]",,,https://uploads8.wikiart.org/temp/969342f4-3c4f-4676-abbe-394ff5ef6c34.jpg!Portrait.jpg,,,https://www.wikiart.org/en/edmund-charles-tarbell,Edmund Charles Tarbell,American,,[Ten (Ten American Painters)],,,,,[ http://en.wikipedia.org/wiki/Edmund_C._Tarbell ]
826,,[Impressionism],29 July 1862,"Stockbridge, Massachusetts, United States",02 December 1929,"Clifton Springs, New York, United States",,,[painting],,,https://uploads8.wikiart.org/temp/38a92b19-d8f1-42df-8c40-5b4b887e9465.jpg!Portrait.jpg,,,https://www.wikiart.org/en/robert-lewis-reid,Robert Lewis Reid,American,,[Ten (Ten American Painters)],,,,,[ https://en.wikipedia.org/wiki/Robert_Lewis_Reid ]
827,,[Impressionism],27 February 1863,"Valencia, Spain",10 August 1923,"Madrid, Spain",,,[painting],,,https://uploads8.wikiart.org/temp/378f148c-ee37-4a1a-baf0-21aea7cbaf67.jpg!Portrait.jpg,,,https://www.wikiart.org/en/joaqu-n-sorolla,Joaquín Sorolla,Spanish,,,,,,,[ http://en.wikipedia.org/wiki/Joaquín_Sorolla ]
828,,"[Symbolism, Impressionism]",15 May 1864,"Copenhagen, Denmark",13 February 1916,"Copenhagen, Denmark",,,[painting],,"[interior, portrait]",https://uploads8.wikiart.org/temp/2ac7cdfe-e700-4e2b-92d0-e825616f371f.jpg!Portrait.jpg,,,https://www.wikiart.org/en/vilhelm-hammershoi,Vilhelm Hammershoi,,,,,,,,[ http://en.wikipedia.org/wiki/Vilhelm_Hammershøi ]
829,,[Impressionism],21 May 1864," Ballarat, Victoria, Australia",26 March 1939,"Looe, Cornwall, United Kingdom",,,,,,https://uploads.wikiart.org/Content/images/ARTIST-480x600.jpg,,,https://www.wikiart.org/en/david-davies,David Davies,Australian,,[Heidelberg School],,,,,[ https://en.wikipedia.org/wiki/David_Davies_(artist) ]
830,,[Impressionism],29 September 1864,"St Kilda, Victoria, Australia",25 May 1947,,,,[painting],,,https://uploads8.wikiart.org/temp/12f69ad1-2236-4bc3-b0c0-8c626a0ce48b.jpg!Portrait.jpg,,,https://www.wikiart.org/en/rupert-bunny,Rupert Bunny,Australian,,,,[www.ngv.vic.gov.au],,,[ https://en.wikipedia.org/wiki/Rupert_Bunny ]
831,,[Impressionism],31 December 1864,"Trier, Germany",09 July 1918,"Stettin, Germany",,,[painting],,,https://uploads0.wikiart.org/images/hans-am-ende.jpg,,,https://www.wikiart.org/en/hans-am-ende,Hans am Ende,German,,,,,,,[ http://en.wikipedia.org/wiki/Hans_am_Ende ]
832,,"[Realism, Impressionism]",19 January 1865,,05 December 1911,,,,[painting],,[portrait],https://uploads6.wikiart.org/images/valentin-serov.jpg!Portrait.jpg,,,https://www.wikiart.org/en/valentin-serov,Valentin Serov,Russian,,[Peredvizhniki (Society for Traveling Art Exhibitions)],,,,[Ilya Repin],[ http://en.wikipedia.org/wiki/Valentin_Serov ]
833,,[Impressionism],11 April 1865,"Nottingham, United Kingdom",03 February 1940,"Kinoulton, United Kingdom",1940.0,,[painting],,[landscape],https://uploads4.wikiart.org/temp/d446b7be-53da-4756-a42e-4d39eb9848fa.jpg,,,https://www.wikiart.org/en/arthur-lowe,Arthur Lowe,British,,,,[www.arthurlowe.co.uk,,,
", www.artbiogs.co.uk, www.facebook.com]",1889,,[ http://en.wikipedia.org/wiki/Arthur_Lowe_(painter) ],,,,,,,,,,,,,,,,,,,,,
834,,[Impressionism],14 July 1865,,19 January 1942,,,,[painting],,,https://uploads6.wikiart.org/images/benjamin-brown.jpg!Portrait.jpg,,,https://www.wikiart.org/en/benjamin-brown,Benjamin Brown,American,,[California Plein-Air School (California Impressionism)],,,,,[ https://en.wikipedia.org/wiki/Benjamin_Brown_(artist) ]
835,,[Impressionism],15 February 1866,"Sunderland, County Durham, United Kingdom",29 June 1952,"Montreal, Quebec, Canada",,,[painting],,,https://uploads8.wikiart.org/temp/952138a5-4c66-4417-a9f7-61dc427e0ce3.jpg!Portrait.jpg,,,https://www.wikiart.org/en/richard-jack,Richard Jack,Canadian,,,,,,,[ https://en.wikipedia.org/wiki/Richard_Jack ]
836,,"[Symbolism, Impressionism, Art Nouveau]",30 June 1866,"Giffoni Valle Piana, Italy",15 October 1944,"Rio de Janeiro, Brazil",,,"[painting, drawing]",,,https://uploads8.wikiart.org/images/eliseu-visconti/self-portrait-1902.jpg!Portrait.jpg,,,https://www.wikiart.org/en/eliseu-visconti,Eliseu Visconti,Brazilian,,,,,,,[ http://en.wikipedia.org/wiki/Eliseu_Visconti ]
837,,"[Realism, Impressionism]",10 October 1866,"Bacău, Romania",14 June 1932,Romania,,,"[painting, engraving]",,"[genre painting, portrait]",https://uploads8.wikiart.org/temp/898f24fd-cd30-444d-9167-b5ce1d4a515f.jpg!Portrait.jpg,,,https://www.wikiart.org/en/nicolae-vermont,Nicolae Vermont,Romanian,,,,,,,[ http://en.wikipedia.org/wiki/Nicolae_Vermont ]
838,"[Académie Julian, Paris, France]",[Impressionism],03 March 1867,"San Gabriel, California, United States",17 November 1925,"Pasadena, California, United States",,,[painting],,,https://uploads0.wikiart.org/images/guy-rose.jpg!Portrait.jpg,,,https://www.wikiart.org/en/guy-rose,Guy Rose,American,,[California Plein-Air School (California Impressionism)],,,,,[ http://en.wikipedia.org/wiki/Guy_Rose ]
839,,[Impressionism],08 April 1867,"Mount Duneed, Australia",01 September 1943,"Olinda, Melbourne, Australia",,,[painting],,[landscape],https://uploads8.wikiart.org/temp/84e2f4c5-4501-4929-9704-8e4f7c1ac8c4.jpg!Portrait.jpg,,,https://www.wikiart.org/en/arthur-streeton,Arthur Streeton,Australian,,[Heidelberg School],,,,,[ http://en.wikipedia.org/wiki/Arthur_Streeton ]
840,,[Impressionism],15 June 1867,"Upper Carniolan, Spodnja Sorica, Slovenia",19 April 1911,"Ljubljana, Slovenia",,,[painting],,,https://uploads8.wikiart.org/temp/3093aabf-86a3-4071-b840-8ff2814157a6.jpg!Portrait.jpg,,,https://www.wikiart.org/en/ivan-grohar,Ivan Grohar,Slovenian,,,,,,,[ http://en.wikipedia.org/wiki/Ivan_Grohar ]
841,,"[Impressionism, Art Nouveau]",01 February 1868,"Ștefănești, Romania",28 June 1917,"Bucharest, Romania",,,[painting],,"[landscape, still life]",https://uploads8.wikiart.org/temp/b6d5cb00-7c07-4658-8ada-e858d1353f2e.jpg!Portrait.jpg,,,https://www.wikiart.org/en/stefan-luchian,Stefan Luchian,Romanian,,,,,,,[ http://en.wikipedia.org/wiki/Ștefan_Luchian ]
842,,[Impressionism],25 August 1868,"Brăila, Romania",26 March 1946,"Bucharest, Romania",,,[painting],,,https://uploads.wikiart.org/Content/images/ARTIST-480x600.jpg,,,https://www.wikiart.org/en/arthur-verona,Arthur Verona,Romanian,,,,,,,[ http://ro.wikipedia.org/wiki/Arthur_Verona ]
843,"[Académie Julian, Paris, France]",[Impressionism],08 October 1868,,20 September 1932,,,,"[painting, illustration, engraving]",,[landscape],https://uploads3.wikiart.org/images/max-slevogt.jpg!Portrait.jpg,,,https://www.wikiart.org/en/max-slevogt,Max Slevogt,German,,[Berlin Secession],,,,,[ http://en.wikipedia.org/wiki/Max_Slevogt ]
844,,[Impressionism],24 October 1868,"London, United Kingdom",09 February 1909,,,,[painting],,,https://uploads6.wikiart.org/00113/images/charles-conder/169858-1200.JPG!Portrait.JPG,,,https://www.wikiart.org/en/charles-conder,Charles Conder,Australian,,[Heidelberg School],,"[en.wikipedia.org, nga.gov.au]",,,[ https://en.wikipedia.org/wiki/Charles_Conder ]
845,,"[Realism, Impressionism]",08 December 1868,"Shitiki, Smolensk Oblast, Russian Federation",19 February 1945,"Berlin, Germany",,,[painting],,,https://uploads8.wikiart.org/temp/ebcf3b55-b5bf-450b-a5a8-8f14ae475c48.jpg!Portrait.jpg,,,https://www.wikiart.org/en/nikolay-bogdanov-belsky,Nikolay Bogdanov-Belsky,Russian,,[Peredvizhniki (Society for Traveling Art Exhibitions)],,,,,[ http://en.wikipedia.org/wiki/Nikolay_Bogdanov-Belsky ]
846,,[Impressionism],30 April 1869,"Budapest, Hungary",22 November 1937,"London, United Kingdom",,,[painting],,[portrait],https://uploads8.wikiart.org/temp/5dadec4c-c003-4dd2-9be4-8ef902bbf142.jpg!Portrait.jpg,,,https://www.wikiart.org/en/philip-de-laszlo,Philip de Laszlo,Hungarian,,,,,,,[ http://en.wikipedia.org/wiki/Philip_de_László ]
847,"[Académie Julian, Paris, France]","[Impressionism, Post-Impressionism]",31 December 1869,"Le Cateau-Cambrésis, Nord, France",03 November 1954,"Nice, Alpes-Maritimes, France",1954.0,,"[painting, printmaking, sculpture, drawing]",[Xavier Martinez],,https://uploads5.wikiart.org/images/henri-matisse.jpg!Portrait.jpg,[Edvard Munch],"[Marc Chagall, Pablo Picasso, Lee Krasner, Max Pechstein, Fernand Leger, Chaim Soutine, Karel Appel, Balcomb Greene, Man Ray]",https://www.wikiart.org/en/henri-matisse,Henri Matisse,French,,"[École de Paris, Les Fauves]",,[www.theartstory.org],1890.0,,[ http://en.wikipedia.org/wiki/Henri_Matisse ]
848,,"[Symbolism, Impressionism]",1870,"Bohdanów, Belarus",1936,,,,"[painting, printmaking, design]",,,https://uploads8.wikiart.org/temp/072a5644-4db3-4e5c-883e-979ef1cbf68a.jpg!Portrait.jpg,,,https://www.wikiart.org/en/ferdynand-ruszczyc,Ferdynand Ruszczyc,Polish,,,,,,,[ http://en.wikipedia.org/wiki/Ferdynand_Ruszczyc ]
849,"[Pennsylvania Academy of the Fine Arts, Philadelphia, PA, US, Art Students League of New York, New York City, NY, US]","[Impressionism, New Realism (American Realism)]",13 March 1870,"Philadelphia, Pennsylvania, United States",22 May 1938,"Westport, Connecticut, United States",,,"[painting, illustration]",[Robert Henri],,https://uploads8.wikiart.org/temp/250365cf-6c9c-4308-a759-2d8308b833a9.jpg!Portrait.jpg,,,https://www.wikiart.org/en/william-james-glackens,William James Glackens,American,,"[Eight, Ashcan School]",,,,,[ http://en.wikipedia.org/wiki/William_Glackens ]
850,,[Impressionism],20 September 1870,"Verd, Vrhnika, Slovenia",28 June 1949,"Ljubljana, Slovenia",,,[painting],,,https://uploads8.wikiart.org/temp/b857cae0-5468-43f7-b238-8e3eb646783b.jpg!Portrait.jpg,,,https://www.wikiart.org/en/matej-sternen,Matej Sternen,Slovenian,,,,,,,[ http://en.wikipedia.org/wiki/Matej_Sternen ]
851,,"[Realism, Impressionism]",24 September 1870,Armenia,22 January 1936,Armenia,,,,,"[landscape, portrait]",https://uploads2.wikiart.org/images/yeghishe-tadevosyan.jpg!Portrait.jpg,,,https://www.wikiart.org/en/yeghishe-tadevosyan,Yeghishe Tadevosyan,Armenian,,"[Mir Iskusstva (World of Art), Peredvizhniki (Society for Traveling Art Exhibitions)]",,,,,[ https://en.wikipedia.org/wiki/Yeghishe_Tadevosyan ]
852,,[Impressionism],07 November 1870,"Giurgiu, Romania",09 February 1954,"Bucharest, Romania",,,[painting],,,https://uploads.wikiart.org/Content/images/ARTIST-480x600.jpg,,,https://www.wikiart.org/en/constantin-artachino,Constantin Artachino,Romanian,,[Balchik School],,,,,[ http://ro.wikipedia.org/wiki/Constantin_Artachino ]
853,,"[Impressionism, Expressionism]",1871,"Siatista, Greece",1960,"Athens, Greece",,,[painting],,,https://uploads8.wikiart.org/temp/3463e18b-d414-42c0-871f-7f04a30b301e.jpg!Portrait.jpg,,,https://www.wikiart.org/en/thalia-flora-karavia, Thalia Flora-Karavia ,Greek,,,,,,,[ https://en.wikipedia.org/wiki/Thalia_Flora-Karavia ]
854,,[Impressionism],18 March 1871,"Bratilovu, Mehedinți, Romania",31 October 1934,"Bucharest, Romania",,,[painting],,,https://uploads8.wikiart.org/temp/82a9612f-40f5-4bae-a8c1-bc21bcd2fe96.jpg!Portrait.jpg,,,https://www.wikiart.org/en/ipolit-strambu,Ipolit Strambu,Romanian,,,,,,,[ http://ro.wikipedia.org/wiki/Ipolit_Strâmbescu ]
855,,"[Impressionism, Post-Impressionism, Socialist Realism]",25 March 1871,"Budapest, Hungary",16 May 1960,"Moscow, Russian Federation",,,[painting],,,https://uploads8.wikiart.org/temp/1c327e8f-5d72-47e2-b629-595560930a69.jpg!Portrait.jpg,,,https://www.wikiart.org/en/igor-grabar,Igor Grabar,Russian,,"[Mir Iskusstva (World of Art), Union of Russian Artists]",,,,[Ilya Repin],[ http://en.wikipedia.org/wiki/Igor_Grabar ]
856,,"[Impressionism, Post-Impressionism]",11 April 1871,"Iași, Romania",16 August 1956,"Bucharest, Romania",,,[painting],,,https://uploads8.wikiart.org/images/theodor-pallady/self-portrait-1938.jpg!Portrait.jpg,,,https://www.wikiart.org/en/theodor-pallady,Theodor Pallady,Romanian,,[Balchik School],,,,,[ http://en.wikipedia.org/wiki/Theodor_Pallady ]
857,,[Impressionism],20 January 1872,"Fințești, Buzău, Romania",1948,"Bucharest, Romania",,,[painting],,,https://uploads6.wikiart.org/images/stefan-popescu.jpg!Portrait.jpg,,,https://www.wikiart.org/en/stefan-popescu,Stefan Popescu,Romanian,,[Balchik School],,,,,[ http://ro.wikipedia.org/wiki/Ștefan_Popescu ]
858,,[Impressionism],07 February 1872,"Uxbridge, Middlesex, United Kingdom",1951,"Melbourne, Australia",,,[painting],,,https://uploads5.wikiart.org/images/ethel-carrick.jpg!Portrait.jpg,,,https://www.wikiart.org/en/ethel-carrick,Ethel Carrick,Australian,,,,,,,[ http://en.wikipedia.org/wiki/Ethel_Carrick ]
859,,[Impressionism],03 March 1872,"Zaube, Latvia",14 January 1945,"Bad Nauheim, Germany",,,[painting],,[landscape],https://uploads0.wikiart.org/images/vilhelms-purvitis.jpg!Portrait.jpg,,,https://www.wikiart.org/en/vilhelms-purvitis,Vilhelms Purvitis,Latvian,,[Mir Iskusstva (World of Art)],,,,,[ http://en.wikipedia.org/wiki/Vilhelms_Purvītis ]
860,,"[Impressionism, Post-Impressionism]",20 November 1872,"Tecuci, Romania",01 May 1949,"Bucharest, Romania",,,[painting],,,https://uploads8.wikiart.org/temp/5afcc5a2-0b3f-4524-8f75-b37ecdff2671.jpg!Portrait.jpg,,,https://www.wikiart.org/en/gheorghe-petrascu,Gheorghe Petrascu,Romanian,,,,,,,[ http://en.wikipedia.org/wiki/Gheorghe_Petrașcu ]
861,,[Impressionism],09 September 1873,"The Hague, Zuid-Holland, Netherlands",24 January 1921,"Pretoria, Gauteng, South Africa",,,[painting],,,https://uploads8.wikiart.org/temp/32942b63-9eb6-46ce-9442-4c58c5d9f5ca.jpg!Portrait.jpg,,,https://www.wikiart.org/en/pieter-wenning,Pieter Wenning,Dutch,,,,,,,[ http://en.wikipedia.org/wiki/Pieter_Wenning ]
862,,[Impressionism],19 April 1874,"Saint-Josse-ten-Noode, Belgium",04 December 1943,"Uccle, Belgium",,,[painting],,,https://uploads4.wikiart.org/temp/e798e549-6896-4f06-80e1-45173b01bb34.jpg,,,https://www.wikiart.org/en/firmin-baes,Firmin Baes,Belgian,,,,,,,[ https://en.wikipedia.org/wiki/Firmin_Baes ]
863,,[Impressionism],30 November 1874,"Blenheim Palace, Woodstock, United Kingdom",24 January 1965,"Hyde Park Gate, United Kingdom",,,[painting],,,https://uploads8.wikiart.org/temp/37264a3e-bda3-40ba-b6dc-78d737ce8dda.jpg!Portrait.jpg,,,https://www.wikiart.org/en/winston-churchill,Winston Churchill,British,,,,,,,[ http://en.wikipedia.org/wiki/Winston_Churchill ]
864,,[Impressionism],24 January 1875,"Fresno, California, United States",11 November 1946,"Tucson, Arizona, United States",,,"[painting, fresco, illustration, drawing]",,"[cloudscape, landscape]",https://uploads4.wikiart.org/images/maynard-dixon(1).jpg,,,https://www.wikiart.org/en/maynard-dixon,Maynard Dixon,American,,,,[www.maynarddixonpaintings.com],,,[ http://en.wikipedia.org/wiki/Maynard_Dixon ]
865,,[Impressionism],02 November 1875,Romania,14 June 1932,,,,[sculpture],,[sculpture],https://uploads4.wikiart.org/temp/76d3d2a8-9bc4-49d5-ba4e-b45023aee2c7.jpg,,,https://www.wikiart.org/en/dimitrie-paciurea,Dimitrie Paciurea,Romanian,,,,,,,[ http://en.wikipedia.org/wiki/Dimitrie_Paciurea ]
866,,[Impressionism],c.1876,,1948,,,,[painting],,,https://uploads.wikiart.org/Content/images/ARTIST-480x600.jpg,,,https://www.wikiart.org/en/emmanuel-zairis,Emmanuel Zairis,Greek,,,,,,,
867,,"[Symbolism, Impressionism, Art Nouveau]",1876,"Athens, Greece",1956,"Athens, Greece",,,,,,https://uploads8.wikiart.org/temp/d64c7329-6fb3-4c62-8db3-134015237ae0.jpg!Portrait.jpg,,,https://www.wikiart.org/en/paul-mathiopoulos,Paul Mathiopoulos,Greek,,,,,,,
868,,[Impressionism],1876,,1958,,,,[painting],,,https://uploads8.wikiart.org/images/asgrimur-jonsson.jpg!Portrait.jpg,,,https://www.wikiart.org/en/asgrimur-jonsson,Asgrimur Jonsson,Icelandic,,,,,,,[ http://en.wikipedia.org/wiki/Ásgrímur_Jónsson ]
869,,[Impressionism],18 December 1876,,07 June 1930,,1930.0,,"[fresco, graphics]",,"[portrait, religious painting]",https://uploads8.wikiart.org/images/petro-kholodny-older.jpg,,,https://www.wikiart.org/en/petro-kholodny-elder,Petro Kholodny (Elder),Ukrainian,,[Kyiv Drawing School of Murashko],,,1910.0,,
870,,[Impressionism],04 August 1877,"Long Eaton, Derbyshire, England, United Kingdom",07 July 1970,,,,"[painting, printmaking, engraving, etching]",,"[genre painting, history painting]",https://uploads4.wikiart.org/images/laura-knight.jpg!Portrait.jpg,,,https://www.wikiart.org/en/laura-knight,Laura Knight,British,,[Newlyn School],,,,,[ http://en.wikipedia.org/wiki/Laura_Knight ]
871,,[Impressionism],01 October 1877,"Nagy Bittse, Hungary",07 November 1941,"San Diego, California, United States",,,[painting],,"[landscape, portrait]",https://uploads1.wikiart.org/images/maurice-braun.jpg,,,https://www.wikiart.org/en/maurice-braun,Maurice Braun,Hungarian,,,,,,,[ http://en.wikipedia.org/wiki/Maurice_Braun ]
872,,[Impressionism],1879,"Harvard, Nebraska, United States",1931,"New Hope, Pennsylvania, United States",,,,,,https://uploads6.wikiart.org/images/robert-spencer.jpg!Portrait.jpg,,,https://www.wikiart.org/en/robert-spencer,Robert Spencer,American,,,,,,,[ http://en.wikipedia.org/wiki/Robert_Spencer_(artist) ]
873,,[Impressionism],1880,"Woerden, Netherlands",1946,"Laren, Netherlands",,,[painting],,,https://uploads8.wikiart.org/temp/8602298a-48b4-4ea1-9737-f744f80e2a85.jpg!Portrait.jpg,,,https://www.wikiart.org/en/cornelis-vreedenburgh,Cornelis Vreedenburgh,Dutch,,[Larense School],,,,,
874,"[Académie Julian, Paris, France]",[Impressionism],28 January 1880,"Galați, Romania",01 April 1962,"Bucharest, Romania",,,[painting],[Constantin Brancusi],,https://uploads8.wikiart.org/temp/13557aef-6a55-47c2-8409-1207c5214c51.jpg!Portrait.jpg,,,https://www.wikiart.org/en/camil-ressu,Camil Ressu,Romanian,,,,,,,[ http://en.wikipedia.org/wiki/Camil_Ressu ]
875,,"[Romanticism, Impressionism]",04 April 1880,"Edinburgh, Scotland, United Kingdom",30 December 1969,,,,"[painting, illustration]",,,https://uploads5.wikiart.org/00098/images//sir-william-russell-flint-300.jpg,,,https://www.wikiart.org/en/sir-william-russell-flint,William Russell Flint,British,,,,[www.markmurray.com],,,[ https://en.wikipedia.org/wiki/William_Russell_Flint ]
876,,[Impressionism],29 October 1880,"Bucharest, Romania",23 November 1956,"Bucharest, Romania",,,"[painting, printmaking, drawing]",,[landscape],https://uploads8.wikiart.org/temp/4102265c-df97-4719-9668-83dac060ffab.jpg!Portrait.jpg,,,https://www.wikiart.org/en/jean-alexandru-steriadi,Jean Alexandru Steriadi,Romanian,,[Balchik School],,,,,[ http://en.wikipedia.org/wiki/Jean_Alexandru_Steriadi ]
877,,"[Impressionism, Post-Impressionism, Expressionism]",1881,,1955,,,,[painting],,,https://uploads3.wikiart.org/images/theophrastus-triantafyllidis/self-portrait-1952.jpg!Portrait.jpg,,,https://www.wikiart.org/en/theophrastos-triantafyllidis,Theophrastos Triantafyllidis,Greek,,"[Generation of the Thirties, Art (Τέχνη)]",,,,,
878,,"[Impressionism, Art Nouveau]",08 November 1881,"Montreal, Canada",05 January 1942,"Montreal, Canada",,,[painting],,[landscape],https://uploads4.wikiart.org/temp/996648de-dd83-4786-9d43-52dd2e04e41c.jpg,,,https://www.wikiart.org/en/clarence-gagnon,Clarence Gagnon,Canadian,,,,[www.gallery.ca],,,[ https://en.wikipedia.org/wiki/Clarence_Gagnon ]
879,,[Impressionism],30 July 1882,"San Antonio, Texas, United States",27 October 1922,"San Antonio, Texas, United States",,,[painting],,[landscape],https://uploads8.wikiart.org/temp/0ed62764-bda9-4e4b-b353-3de4f679ede4.jpg!Portrait.jpg,,,https://www.wikiart.org/en/robert-julian-onderdonk,Robert Julian Onderdonk,American,,,,,,,[ http://en.wikipedia.org/wiki/Julian_Onderdonk ]
880,,"[Impressionism, Post-Impressionism]",18 February 1883,"Giurgiu, Romania",14 August 1959,"Bucharest, Romania",,,[painting],,,https://uploads8.wikiart.org/temp/aaded010-ffd9-40ac-90af-5649d9be719c.jpg!Portrait.jpg,,,https://www.wikiart.org/en/nicolae-darascu,Nicolae Darascu,Romanian,,[Balchik School],,,,,[ http://en.wikipedia.org/wiki/Nicolae_Dărăscu ]
881,,[Impressionism],28 July 1883,"Decatur, Illinois, United States",21 April 1951,"New Hope, Pennsylvania, United States",,,[painting],,,https://uploads4.wikiart.org/temp/aba0f8fd-93bd-471b-a5ab-bfc21d396d78.jpg,,,https://www.wikiart.org/en/fern-coppedge,Fern Coppedge,American,,[Pennsylvania Impressionism],,[www.ferncoppedge.com],,,[ http://en.wikipedia.org/wiki/Fern_Coppedge ]
882,,[Impressionism],07 July 1884,"Boussy-Saint-Antoine, France",17 September 1974,,,,"[painting, printmaking, etching, graphics]",,,https://uploads8.wikiart.org/temp/39d12ae8-7f73-4147-853c-d3fd0c556e2d.jpg!Portrait.jpg,,,https://www.wikiart.org/en/andre-dunoyer-de-segonzac,Andre Dunoyer de Segonzac,French,,,[Marc Chagall],[www.tate.org.uk],,,[ http://en.wikipedia.org/wiki/André_Dunoyer_de_Segonzac ]
883,,[Impressionism],13 December 1884,"Bucharest, Romania",02 October 1959,"Bucharest, Romania",,,[painting],,"[genre painting, landscape]",https://uploads8.wikiart.org/temp/3673f5b6-ab4d-4e31-92da-eb235a50ff6b.jpg!Portrait.jpg,,,https://www.wikiart.org/en/samuel-mutzner,Samuel Mutzner,Romanian,,[Balchik School],,,,,[ http://ro.wikipedia.org/wiki/Samuel_Mützner ]
884,,"[Impressionism, Post-Impressionism]",18 January 1886,"Huși, Romania",22 May 1933,"Iași, Romania",,,"[painting, drawing]",,,https://uploads8.wikiart.org/temp/0b48ba54-79e3-40e3-a233-8cf846d20478.jpg!Portrait.jpg,,,https://www.wikiart.org/en/stefan-dimitrescu,Stefan Dimitrescu,Romanian,,"[Grupul celor patru (Group of Four), Balchik School]",,,,,[ http://en.wikipedia.org/wiki/Ștefan_Dimitrescu ]
885,,[Impressionism],07 May 1886,"Pitești, Romania",17 February 1975,"Bucharest, Romania",,,"[painting, drawing]",,"[genre painting, landscape]",https://uploads8.wikiart.org/temp/c07153a6-b60a-4160-8c75-d7e23cce1fa9.jpg!Portrait.jpg,,,https://www.wikiart.org/en/rudolf-schweitzer-cumpana,Rudolf Schweitzer-Cumpana,Romanian,,[Balchik School],,,,,[ http://en.wikipedia.org/wiki/Rudolf_Schweitzer-Cumpăna ]
886,,"[Impressionism, Post-Impressionism]",10 May 1889,,18 September 1954,,,,"[painting, sculpture]",,,https://uploads7.wikiart.org/images/armando-reveron.jpg!Portrait.jpg,,,https://www.wikiart.org/en/armando-reveron,Armando Reveron,Venezuelan,,,,,,,[ http://en.wikipedia.org/wiki/Armando_Reverón ]
